No;Komentar
279;mengambil sambel sendok nya kering biar cepat rusak rasa sambel nya
280;nyoba surabaya dipasar atum
281;han purnomo belanja online koq om rekomen sambal bawangnya
282;suroboyo dorong nyobak sambel sampean buk insyaallah mene langsung budal nang toko ne sampean wkwk
283;sambelnya enak murah
284;bu rudy bakal legend tahun perjalanannya jamu nyonya meneer jamu iboe
285;waw
286;warung bu rudy murah warung food court shopping mall
287;salah satu ny mas
288;rudy bhas pasar atom gedung baru lantai areal foodcourt
289;mbandhong gais
290;oaaaala bu rudi
291;bu rudy pegawainya cabang anjasmoro disidak bulan kebetulan lihat boncengan bawa kucing depot bu rudy gataunya dibuang pinggir jalan patua kucingnya tertabrak kucing kejam waktu balik bertanya tukang parkirnya nyolot terimakasih
292;nomor pict hoax komplen bukti jaman
293;hanif mwfq depotnya cctv buka post pictnya pegawainya pakai baju putih training membuat alasan bilang pegawai logo baju
294;lombok pak kartomo
295;ah
296;coba korea cinta sambeltapi bli mart enak enak bikinanku
297;cuk
298;telepon bu rudy diantar kemarin pas cuti sengaja surabaya langsung bu rudy mborong sambel
299;koreanya
300;omtrs dpasarin huahahaha tau nnti jadi ikonnya korea love skenariosambal korea kwkwkkwkw
301;kayaknya enak doyan pedas
302;qw senang pisang goreng sampean buk
303;sambelnya bikin makan tambah lahap
304;pertama kali sby diajak temen makan rumah makan bu rudi pas makan sambal nya langsung ketagihan langsung beli kalteng mantap
305;orang masak resepnya pakai feeling pakai gram takarannya
306;hmmm manis sambelnya
307;emank sambal bawangnya bu rudy maknyoss beli online surabaya tau gakharga jualnya
308;tau beli sambelnya
309;god bless ibuuu
310;bu rudy kehigienisan pembuatan pengemasannya diperbaiki terutama karyawan memakai sarung tangan masker lantai
311;kue artis kalah sambel bu rudy
312;mantap nih emang bu rudy sambel udang kering aduuuhhh bikin nagih
313;rejeki berkat emang porsi nya sambel menghantar jadi milyader amen nyusul god bless bu rudy
314;mantap bu rudy sharingnya jadi termotivasi
315;terima kasih bu atas sambel legend nya
316;biassa
317;sukses bu rudy
318;ooo orangnya bu rudiiii garagara ibu nih surabaya temen surabaya beli sambelnya bu tanggung jawab bu jadi ketagihan lho
319;suka banget orang kaya beliau jiwa dagang percaya
320;aduh salib nya
321;salibnyagara pakai salib makan sambalnya diadia mengurusi idup ente bro
322;astaga mas beliau pakai salib hubungi nya jualannya beliau berkarya diusia senja mengharumkan surabaya emang peci mu usah rasis lek urip noj muslim urip nang alas kono loh motor hp lan cicilan omah jek butuh liyo aky muslim surabaya mblenek melihat kelakuan rasis koyok
323;dimaksud kalung salibnya blink blink wkwkwk triggered emang dasar bu rudi ni gila rich surabayan
324;gandha imam layak ngomong dibudayakan komen umum soal pribari biasakan ngomong sejawarnya wajar abnormal mas
325;tahun hidup indonesia bangsat
326;astaghfirullahaladzim jadi itukan menunjukkan keimanan such pathetic person
327;ketemuan ajak ngopi ngomong tata krama
328;biarpun uang tetap dibawahnya pembeli super ibu terimakasih wejangannya
329;benar pedagang bangkrut merasa kaya ramah pembeli raja usahanya bangkrut gulung tikar
330;asami ari 아사미 yuppp ibu mengajari rendah hati jumawa pas diatassukses
331;online mas pembeli kalimantan
332;sukses bu bakat alam ibu
333;ternyata kemampuan tau resep masakan lihat buku nyata drama korea
334;ibukku masak bumbunya buanyak kata adekku enakan masakanku love ibukku
335;dae jang geum yak wkwkwk
336;hahahaha sepemikiran yaa jadi ingat jang geum langsung
337;janggeum nya indonesia
338;hay jang geum
339;muantepe poll bnyak belajar bu rudy sby foto bareng ngge buk
340;pribadi sih sambelnya pedas makan sambel brasa puas mantap
341;beli sambel kemasan ketemu rasa enak sambel bu rudy sambel bawang bu rudy benar persis sambel bawang buatan ibu
342;makan pakai sambal bu rudy nasi habis bertambah terus
343;guys beli sambal bu rudy makan sebotol rasanya asem basi
344;basi sambal tahan cara menyimpan perhatikan
345;lihat tanggal kadaluarsanya jenis sambal asli sambal bu rudy pakai pastikan tutup rapat
346;selai morin makan habis bang pas beli kemasannya dilapisin plastic wrap jauh expired tanggal cara penyimpanan jualnya jelek
347;rasanya asem gurih berarti segel alumunium foil dalem nya bocor jadi udara keluar masuk takutnya basi soalnya beli pas sambelnya dibuka tahannya harian untung tinggal jadi rugi banget basi wkwk
348;enaknya pelayanannya makan tempat cuek jam ramai jam makan siang angkat tangan bolak balik narik perhatian pesan dilihat tok digubris mbok melayani meja kancane sing diam ae disuruh mbantu lho urusan harga rasa isi enak
349;mas rifqi makan dipasar atom sip hehe
350;pelayanannya kurang cepat
351;kebanyakan kolom komentar ratarata kalangan deh
352;bb mwrd kalangan
353;haha lihat tuh kerja keras membuahkan hasil nya ngejarah iri hati atas keberhasilan orang
354;memotivasi bu
355;bu lanny makan indomi pakai sambal bawang ibu sendok mm merem melek serundeng ibu enaak campur nasi goreng
356;aduh coba
357;sambelnya jos makan ketagihan juara soal rasanya apalgi sambel bawangnya beeeeeh jooossss pedesnya jadi makan sambelnya
358;bu rudy luar sambelnya
359;salah satu disebut gila rich surabaya ahahaha
360;betul
361;kayaknya kurang cocok rich gayak hidupnya mencirikan gila rich asian jadi bergaya hidup kaum jetzet
362;sugih nggelani wkwkwk
363;kayaknya soalnya dibilang gila punya pabrik besar lahan sawit plus melihat gaya hidup keluarganya
364;lil kitty kayaknya orang kafir yah perlu dibanggakan bangga muslim
365;السليم في الجسم السليم solehah dasar kaum monaslimin bibib ijik
366;السليم في الجسم السليم solehah perlu bikin akun khusus cari perhatian dehmba
367;السليم في الجسم السليم solehah pindah indonesia belajar pendidikan negara tololnya begininih emang beda agama hormatilah indonesia
